127.0.0.1 - - [25/Aug/2026 17:17:13] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:18:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:18:21] "GET /dist/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:18:21] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:20:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:20:28] "GET /dist/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:20:28] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:22:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:22:02] "GET /dist/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:22:02] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:23:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:23:48] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Aug/2026 17:23:48] "GET /dist/bundle.js HTTP/1.1" 200 -
